0	0
1	0
2	298949
3	213040
4	603357
5	4022
6	36513
7	983391
8	820810
9	16822
10	5908
11	7124
12	28733
13	2045622
14	546846
15	24898
16	2
17	817
18	3865
19	50606
20	22566
21	201227
22	7041
23	2627
24	1421
25	2
26	126548
27	0
28	89518
29	201821
30	84884
31	249226
32	103494
33	129043
34	37456
35	2347
36	799
37	9701
38	1
39	0
40	294324
41	313093
42	30918
43	169047
44	160917
45	3413
46	1887
47	0
48	204510
49	135511
50	9013
51	802
52	0
53	7175
54	0
55	0
56	3022372
57	0
58	979745
59	117760
60	1127
61	21453
62	1
63	621019
64	292427
65	134435
66	77
67	945
68	150
69	2323
70	916110
71	2
72	9549
73	41395
74	5095
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
